Comment,Designator,Footprint,Manufacturer_Name,Manufacturer_Part_Number
A000066,A101,Custom:ARDUINO_A000066,Arduino,A000066
100n,"C101, C102, C103, C104, C107, C108, C402, C502, C1202, C1302",C_0805_2012Metric,Samsung Electro-Mechanics,CL21B104KCFNNNE
4u7,"C105, C106, C109, C401, C501",C_0603_1608Metric,Samsung Electro-Mechanics,CL10A475KO8NNNC
10u,"C201, C302, C601, C1201, C1301",C_0603_1608Metric,Samsung Electro-Mechanics,CL10A106KP8NNNC
10n,"C202, C301, C602",C_0603_1608Metric,Samsung Electro-Mechanics,0603B103K500NT
2u2,C303,C_0603_1608Metric,Samsung Electro-Mechanics,CL10A225KO8NNNC
1n,"C403, C404, C503, C504",C_0603_1608Metric,Samsung Electro-Mechanics,CL10B102KB8NNNC
22u,"C1203, C1204, C1303, C1304",C_0603_1608Metric,Samsung Electro-Mechanics,CL10A226MQ8NRNC
BAS70TW,D101,SOT-363_SC-70-6,Diodes Incorporated,BAS70TW
LTST-C190KRKT,"D801, D802, D803, D804, D805, D806, D807, D808",LEDC1608X35N,Lite-On,LTST-C190KRKT
AMC1602AR-B-Y6WFDY-SPI,DS1101,AMC1602ARBY6WFDYSPI,Orient Display,AMC1602AR-B-Y6WFDY-SPI
4u7,"L1201, L1301",L_1008_2520Metric,Samsung Electro-Mechanics,CIGW252010GL4R7MNE
LDQ-M516RI,LED901,DIPS1524W50P254L5030H800Q12N,Lumex Opto/Components Inc.,67-1449-ND
Speaker,"LS401, LS501",SPKR_AS01508MS-SC11-WP-R,"PUI Audio, Inc.",AS01508MS-SC11-WP-R
CMM-4030D-261-I2S-TR,"MK201, MK601",MIC_CMM-4030D-261-I2S-TR,CUI Devices,CMM-4030D-261-I2S-TR
USB_C_Plug,P1401,USB_C_Receptacle_Palconn_UTC16-G,,
SMMBT4403LT1G,"Q901, Q902, Q903, Q904",SOT-23,onsemi,SMMBT4403LT1G
10k,"R101, R701, R702, R703, R704, R705, R706, R707, R708, R1001, R1002, R1003, R1004, R1005",R_0603_1608Metric,UNI-ROYAL(Uniroyal Elec),0603WAF1002T5E
100,"R201, R601, R1101, R1102",R_0603_1608Metric,UNI-ROYAL(Uniroyal Elec),0603WAF1000T5E
220,"R801, R802, R803, R804, R805, R806, R807, R808, R905, R906, R907, R908, R909, R910, R911, R912",R_0603_1608Metric,UNI-ROYAL(Uniroyal Elec),0603WAF2200T5E
1k,"R901, R902, R903, R904",R_0603_1608Metric,UNI-ROYAL(Uniroyal Elec),0603WAF1001T5E
5k1,"R1401, R1402",_0603_1608Metric,UNI-ROYAL(Uniroyal Elec),0603WAF5101T5E
100k,"RV101, RV1101",TRIM_3352T-1-104LF,Bourns Inc.,3352T-1-104LF
PTS636_SM43_SMTR_LFS,"S101, S102, S1002, S1003, S1004, S1005",PTS636SM43SMTRLFS,C & K COMPONENTS,PTS636 SM43 SMTR LFS
EG1218,"S701, S702, S703, S704, S705, S706, S707, S708",EG1218,E-Switch,EG1218
PTS636_SM43_SMTR_LFS,S1001,PTS636SM43SMTRLFS,C & K COMPONENTS,PTS636 SM43 SMTR LFS
STM32F072VBTx,U101,QFP-100_14x14mm_P0.5mm,STMicroelectronics,STM32F072VBT6
DRV8833RTY,U301,Texas_S-PWQFN-N16_EP2.1x2.1mm,Texas Instruments,DRV8833RTYT
NAU8315YG,"U401, U501",QFN50P400X400X80-21N,Nuvoton Technology Corporation,NAU8315YG
AP63205WU,U1201,SOT-23-6,Diodes Incorporated,AP63205WU-7
AP63203WU,U1301,SOT-23-6,Diodes Incorporated,AP63203WU-7
